PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_LAST,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,PX_ROUND_LOT_SIZE,FUT_CONTRACT_SIZE_REALTIME,FUT_TICK_SIZE
USDAUD Curncy,,,AUD,BBG0013HKTB8,,,,1.350300,,,,,,,CROSS,,,
USDBRL Curncy,,,BRL,BBG0013HFYW0,,,,3.714400,,,,,,,CROSS,,,
USDCAD Curncy,,,CAD,BBG0013HG2R5,,,,1.305800,,,,,,,CROSS,,,
USDCHF Curncy,,,CHF,BBG0013HFN45,,,,0.994500,,,,,,,CROSS,,,
USDCNH Curncy,,,CNH,BBG0014V5GM9,,,,6.817600,,,,,,,CROSS,,,
USDCNY Curncy,,,CNY,BBG0013HFRM6,,,,6.813300,,,,,,,CROSS,,,
USDEUR Curncy,,,EUR,BBG0013HQHV6,,,,0.858300,,,,,,,CROSS,,,
USDGBP Curncy,,,GBP,BBG0013HJDF1,,,,0.762300,,,,,,,CROSS,,,
USDHKD Curncy,,,HKD,BBG0013HGDM6,,,,7.848100,,,,,,,CROSS,,,
USDIDR Curncy,,,IDR,BBG0013HFHZ4,,,,14418.000000,,,,,,,CROSS,,,
USDILS Curncy,,,ILS,BBG0013HGQP4,,,,3.656000,,,,,,,CROSS,,,
USDINR Curncy,,,INR,BBG0013HGBC1,,,,68.662500,,,,,,,CROSS,,,
USDJPY Curncy,,,JPY,BBG0013HG3T1,,,,111.010000,,,,,,,CROSS,,,
USDKRW Curncy,,,KRW,BBG0013HFJ62,,,,1118.150000,,,,,,,CROSS,,,
USDMXN Curncy,,,MXN,BBG0013HFYM1,,,,18.571500,,,,,,,CROSS,,,
USDMYR Curncy,,,MYR,BBG0013HFKN0,,,,4.062500,,,,,,,CROSS,,,
USDNOK Curncy,,,NOK,BBG0013HFL85,,,,8.182000,,,,,,,CROSS,,,
USDNZD Curncy,,,NZD,BBG0013HP7R4,,,,1.471700,,,,,,,CROSS,,,
USDPHP Curncy,,,PHP,BBG0013HFJ99,,,,53.294000,,,,,,,CROSS,,,
USDPLN Curncy,,,PLN,BBG0013HFK96,,,,3.672700,,,,,,,CROSS,,,
USDRUB Curncy,,,RUB,BBG0013HGFT4,,,,62.748100,,,,,,,CROSS,,,
USDSEK Curncy,,,SEK,BBG0013HFMZ3,,,,8.841400,,,,,,,CROSS,,,
USDSGD Curncy,,,SGD,BBG0013HFJF2,,,,1.361100,,,,,,,CROSS,,,
USDTHB Curncy,,,THB,BBG0013HFNL6,,,,33.292000,,,,,,,CROSS,,,
USDTRY Curncy,,,TRY,BBG0013HFWV5,,,,4.851900,,,,,,,CROSS,,,
USDTWD Curncy,,,TWD,BBG0013HFND5,,,,30.587000,,,,,,,CROSS,,,
USDZAR Curncy,,,ZAR,BBG0013HFSP1,,,,13.181900,,,,,,,CROSS,,,
