PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,PX_ROUND_LOT_SIZE,FUT_CONTRACT_SIZE_REALTIME,FUT_TICK_SIZE
1000 HK Equity,1000,Hong Kong,HKD,BBG000QNJ786,B04YDF3,CNE100000254,,2.390000,2900.000000,131.213390,10,1010,101013,10101310,Common Stock,500,,
1001 HK Equity,1001,Hong Kong,HKD,BBG000BGDQ36,BYW4ZJ1,BMG8000T1027,,0.730000,201950.000000,467.599072,17,1714,171412,,Common Stock,2000,,
1002 HK Equity,1002,Hong Kong,HKD,BBG000LZH3G6,6444022,KYG939951011,,0.144000,681795.200000,332.281924,16,1612,161217,16121711,Common Stock,4000,,
1003 HK Equity,1003,Hong Kong,HKD,BBG000BGDN51,BYRMJ10,BMG4643J1062,,2.060000,4868868.000000,5702.194140,14,1415,141512,14151214,Common Stock,10000,,
1004 HK Equity,1004,Hong Kong,HKD,BBG000BHCRL3,BVFMPJ1,BMG2116L1037,,0.950000,4080353.000000,8905.633792,14,1412,141214,14121410,Common Stock,2000,,
1005 HK Equity,1005,Hong Kong,HKD,BBG000BGDKB0,6242408,BMG5888V1265,,2.790000,24600.000000,2109.807243,11,1113,111310,11131010,Common Stock,2000,,
1006 HK Equity,1006,Hong Kong,HKD,BBG000PZZFQ4,B7MD0V6,KYG2045D1079,,3.610000,195050.000000,2070.551600,12,1210,121010,12101014,Common Stock,1000,,
1007 HK Equity,1007,Hong Kong,HKD,BBG001799KR7,BGCRXR8,KYG2752L1023,,0.225000,32602200.000000,1159.548750,12,1210,121011,12101112,Common Stock,20000,,
1008 HK Equity,1008,Hong Kong,HKD,BBG000DSQC26,BBGTPF7,KYG1643V1059,,0.930000,131032.000000,1458.132710,11,1114,111413,11141310,Common Stock,2000,,
1009 HK Equity,1009,Hong Kong,HKD,BBG000BSLG79,B00XPC5,KYG4843W1050,,1.470000,973500.000000,2012.661135,14,1415,141510,14151014,Common Stock,2000,,
100 HK Equity,100,Hong Kong,HKD,BBG000BCTN71,6424303,BMG219901094,,5.830000,0.000000,3158.113915,10,1010,101013,10101312,Common Stock,1000,,
1010 HK Equity,1010,Hong Kong,HKD,BBG000BGDMC5,BZ57LV8,BMG6866U1062,,2.250000,272700.000000,757.321069,18,1811,181111,18111110,Common Stock,2000,,
1011 HK Equity,1011,Hong Kong,HKD,BBG001M282S5,B59JSD1,KYG2114L1059,,1.710000,1957575.000000,2747.051672,15,1510,151013,,Common Stock,500,,
