PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,,,
600000 CG Equity,600000,Shanghai,CNY,BBG000C4M7L4,6182043,CNE0000011B7,,10.020000,20878900.000000,294107.845578,14,1411,141111,14111110,Common Stock,,,
600004 CG Equity,600004,Shanghai,CNY,BBG000PMTKL4,6610221,CNE000001DX0,,14.380000,16520590.000000,29756.828991,16,1617,161716,16171610,Common Stock,,,
600006 CG Equity,600006,Shanghai,CNY,BBG000D5HV88,6163833,CNE000000ZT3,,4.110000,8304887.000000,8220.000000,11,1111,111110,,Common Stock,,,
600007 CG Equity,600007,Shanghai,CNY,BBG000BT3LL0,6142133,CNE000000YH1,,15.040000,649609.600000,15149.529311,14,1415,141510,14151015,Common Stock,,,
600008 CG Equity,600008,Shanghai,CNY,BBG000CLRFJ6,6377098,CNE000001295,,4.270000,13997440.000000,20584.022309,19,1910,191012,19101212,Common Stock,,,
600009 CG Equity,600009,Shanghai,CNY,BBG000BCHDH5,6104780,CNE000000V89,,62.690000,6955746.000000,120801.025105,16,1617,161716,16171610,Common Stock,,,
600010 CG Equity,600010,Shanghai,CNY,BBG000GQDT97,6335933,CNE0000017H1,,1.640000,159760200.000000,74759.453543,17,1714,171412,,Common Stock,,,
600011 CG Equity,600011,Shanghai,CNY,BBG000L7SCD9,6422136,CNE000001998,,7.580000,21380210.000000,79590.000000,19,1910,191011,,Common Stock,,,
600012 CG Equity,600012,Shanghai,CNY,BBG000P5GHS5,6579366,CNE000001DC4,,5.970000,4291714.000000,6958.631854,16,1615,161512,16151211,Common Stock,,,
600015 CG Equity,600015,Shanghai,CNY,BBG000CRTX39,6683438,CNE000001FW7,,7.630000,18177990.000000,97837.099162,14,1411,141111,14111110,Common Stock,,,
600016 CG Equity,600016,Shanghai,CNY,BBG000D93NZ3,6310747,CNE0000015Y0,,5.990000,62075250.000000,212418.118046,14,1411,141111,,Common Stock,,,
600017 CG Equity,600017,Shanghai,CNY,BBG000LV8Y31,B1G2SZ7,CNE000001P03,,3.300000,8942231.000000,10149.657830,16,1617,161716,16171611,Common Stock,,,
600018 CG Equity,600018,Shanghai,CNY,BBG000PW95K8,B1G9126,CNE0000013N8,,6.120000,8933207.000000,141822.888858,16,1617,161716,16171611,Common Stock,,,
600019 CG Equity,600019,Shanghai,CNY,BBG000D8NQ68,6307954,CNE0000015R4,,8.620000,68694430.000000,191949.428377,17,1714,171412,,Common Stock,,,
600020 CG Equity,600020,Shanghai,CNY,BBG000N1H2J8,6674517,CNE000001FL0,,3.810000,6084447.000000,8562.486680,16,1615,161512,16151211,Common Stock,,,
600021 CG Equity,600021,Shanghai,CNY,BBG000BVLNF8,6709828,CNE000001G53,,7.630000,5492914.000000,18385.684047,19,1910,191011,,Common Stock,,,
600022 CG Equity,600022,Shanghai,CNY,BBG000MM8LD7,B01NV71,CNE000001JV1,,,0.000000,,17,1714,171412,,Common Stock,,,
600023 CG Equity,600023,Shanghai,CNY,BBG005Q2DYN1,BHB9338,CNE100001SP3,,5.010000,10029250.000000,68139.456840,19,1910,191011,,Common Stock,,,
600025 CG Equity,600025,Shanghai,CNY,BBG00D603TY0,BF8QD38,CNE100002T71,,3.070000,36734400.000000,55260.000000,19,1910,191011,19101112,Common Stock,,,
600026 CG Equity,600026,Shanghai,CNY,BBG000LDSFP6,6344627,CNE000001BD6,,4.240000,6637476.000000,11600.779331,16,1617,161712,16171217,Common Stock,,,
600027 CG Equity,600027,Shanghai,CNY,BBG000HK7W26,B05R5D3,CNE000001LJ2,,4.360000,40089320.000000,35515.439711,19,1910,191011,,Common Stock,,,
600028 CG Equity,600028,Shanghai,CNY,BBG000P1Z4K0,6373728,CNE0000018G1,,6.540000,80649620.000000,624947.822641,13,1310,131010,,Common Stock,,,
600029 CG Equity,600029,Shanghai,CNY,BBG000BBDBV9,6664972,CNE000001FG0,,7.360000,107846300.000000,51686.704000,11,1117,111710,11171010,Common Stock,,,
600030 CG Equity,600030,Shanghai,CNY,BBG000DZ03R1,6579355,CNE000001DB6,,17.270000,78931300.000000,169912.288689,14,1413,141310,14131011,Common Stock,,,
600031 CG Equity,600031,Shanghai,CNY,BBG000MBPMM0,6648824,CNE000001F70,,9.160000,87680300.000000,70885.774021,16,1612,161211,16121110,Common Stock,,,
600033 CG Equity,600033,Shanghai,CNY,BBG000FKYV57,6317447,CNE000001717,,3.040000,5162850.000000,8342.976000,16,1615,161512,16151211,Common Stock,,,
600035 CG Equity,600035,Shanghai,CNY,BBG000L9NTL4,6745866,CNE000001GW5,,3.240000,4768712.000000,5599.001297,16,1615,161512,16151211,Common Stock,,,
600036 CG Equity,600036,Shanghai,CNY,BBG000D771V5,6518723,CNE000001B33,,28.220000,47363030.000000,582148.811786,14,1411,141111,,Common Stock,,,
600037 CG Equity,600037,Shanghai,CNY,BBG000FDQNY8,6317328,CNE0000016Y8,,10.130000,3465471.000000,14098.709965,10,1010,101012,10101211,Common Stock,,,
600038 CG Equity,600038,Shanghai,CNY,BBG000DZXBV2,6306586,CNE0000015V6,,40.900000,6390381.000000,24109.597684,16,1610,161010,16101011,Common Stock,,,
600039 CG Equity,600039,Shanghai,CNY,BBG000DTC757,6599803,CNE000001DQ4,,3.950000,18850890.000000,14261.575765,16,1615,161512,16151213,Common Stock,,,
600048 CG Equity,600048,Shanghai,CNY,BBG000PRV8B8,B19RB38,CNE000001ND1,,12.040000,109655800.000000,142775.630374,14,1415,141510,14151012,Common Stock,,,
600050 CG Equity,600050,Shanghai,CNY,BBG000P7DV30,6547998,CNE000001CS2,,5.270000,115041600.000000,163516.567590,10,1011,101110,10111010,Common Stock,,,
600051 CG Equity,600051,Shanghai,CNY,BBG000BS0W04,6635912,CNE000000PL1,,6.570000,2362894.000000,2042.481600,14,1415,141510,,Common Stock,,,
600052 CG Equity,600052,Shanghai,CNY,BBG000BS4P14,6990064,CNE000000PM9,,,0.000000,,14,1415,141510,,Common Stock,,,
600053 CG Equity,600053,Shanghai,CNY,BBG000BS50W4,6004307,CNE000000PP2,,17.280000,1282409.000000,7491.585024,14,1415,141510,,Common Stock,,,
600054 CG Equity,600054,Shanghai,CNY,BBG000J7F248,6444635,CNE000000PV0,,11.710000,1984379.000000,6010.743000,11,1116,111612,11161210,Common Stock,,,
600055 CG Equity,600055,Shanghai,CNY,BBG000BVWX28,6079037,CNE000000PZ1,,11.640000,2903225.000000,6295.100556,15,1512,151213,,Common Stock,,,
