PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,,,
000001 CS Equity,000001,Shenzhen,CNY,BBG000BZDQD3,6802006,CNE000000040,,9.380000,97206610.000000,161058.458613,14,1411,141111,14111110,Common Stock,,,
000002 CS Equity,000002,Shenzhen,CNY,BBG000BZB0Z8,6803708,CNE0000000T2,,24.180000,44817160.000000,235131.072168,14,1415,141510,,Common Stock,,,
000004 CS Equity,000004,Shenzhen,CNY,BBG000BZFTX3,6803087,CNE0000000Y2,,18.600000,396980.300000,1561.966322,15,1510,151013,,Common Stock,,,
000005 CS Equity,000005,Shenzhen,CNY,BBG000BZDP72,6809892,CNE0000001L7,,3.130000,9193172.000000,3313.220315,14,1415,141512,,Common Stock,,,
000006 CS Equity,000006,Shenzhen,CNY,BBG000BZFRZ5,6803065,CNE000000164,,5.820000,9653106.000000,7856.971168,14,1415,141510,,Common Stock,,,
000007 CS Equity,000007,Shenzhen,CNY,BBG000BZDNB2,6803151,CNE0000000P0,,13.360000,1735216.000000,4628.545868,14,1415,141512,14151211,Common Stock,,,
000008 CS Equity,000008,Shenzhen,CNY,BBG000BZGN01,6478957,CNE0000001C6,,4.960000,0.000000,13978.915853,11,1117,111711,11171110,Common Stock,,,
000009 CS Equity,000009,Shenzhen,CNY,BBG000BZDLT7,6803098,CNE000000222,,5.120000,12606050.000000,11004.646252,15,1510,151012,,Common Stock,,,
000010 CS Equity,000010,Shenzhen,CNY,BBG000P6HP77,6823698,CNE000000156,,4.490000,9974408.000000,3681.147661,11,1114,111410,11141012,Common Stock,,,
000011 CS Equity,000011,Shenzhen,CNY,BBG000BZDKR1,6803236,CNE000000248,,10.590000,2803308.000000,5595.479061,14,1415,141510,,Common Stock,,,
000012 CS Equity,000012,Shenzhen,CNY,BBG000BZ9LD9,6192042,CNE0000002R2,,5.190000,7799388.000000,9592.429697,17,1711,171112,17111212,Common Stock,,,
000014 CS Equity,000014,Shenzhen,CNY,BBG000BZBX31,6803140,CNE0000003G3,,12.940000,13654320.000000,2610.065120,14,1415,141510,,Common Stock,,,
000016 CS Equity,000016,Shenzhen,CNY,BBG000BZCNJ5,6807830,CNE0000002T8,,5.010000,12023610.000000,7998.934938,18,1810,181011,18101112,Common Stock,,,
000017 CS Equity,000017,Shenzhen,CNY,BBG000BZDHB5,6803429,CNE0000002Q4,,4.000000,6392318.000000,1211.939672,11,1113,111313,11131310,Common Stock,,,
000018 CS Equity,000018,Shenzhen,CNY,BBG000BZFVZ6,6928504,CNE0000002S0,,3.470000,27966360.000000,4977.512977,14,1415,141510,14151014,Common Stock,,,
000019 CS Equity,000019,Shenzhen,CNY,BBG000BZDGJ9,6803214,CNE000000354,,10.240000,22618000.000000,4556.592128,12,1210,121012,12101211,Common Stock,,,
000020 CS Equity,000020,Shenzhen,CNY,BBG000BZDTP4,6808015,CNE0000002V4,,13.240000,1721759.000000,2398.629777,18,1810,181016,18101611,Common Stock,,,
000021 CS Equity,000021,Shenzhen,CNY,BBG000BZDWT3,6802534,CNE000000FK4,,7.100000,9769124.000000,10445.941477,18,1810,181013,18101311,Common Stock,,,
000022 CS Equity,000022,Shenzhen,CNY,BBG000BZ9FB4,6803463,CNE000000818,,18.470000,2930570.000000,8583.718248,16,1617,161716,16171611,Common Stock,,,
000023 CS Equity,000023,Shenzhen,CNY,BBG000BZFWK0,6801285,CNE000000834,,13.290000,2543539.000000,1844.070430,17,1711,171112,17111211,Common Stock,,,
000025 CS Equity,000025,Shenzhen,CNY,BBG000BZFXD6,6885449,CNE0000008N8,,32.450000,1900328.000000,8790.107920,11,1119,111911,11191110,Common Stock,,,
000026 CS Equity,000026,Shenzhen,CNY,BBG000BZFPT6,6803559,CNE000000875,,8.550000,1651904.000000,3053.178333,11,1120,112016,11201611,Common Stock,,,
000027 CS Equity,000027,Shenzhen,CNY,BBG000BZDY91,6780403,CNE000000933,,5.070000,4632548.000000,20099.972397,19,1910,191012,19101210,Common Stock,,,
000028 CS Equity,000028,Shenzhen,CNY,BBG000BZFNP5,6803601,CNE0000009N6,,45.800000,1330570.000000,17094.456120,15,1511,151112,15111210,Common Stock,,,
000029 CS Equity,000029,Shenzhen,CNY,BBG000BZDFG4,6773254,CNE0000009X5,,11.170000,0.000000,9959.842200,14,1415,141510,14151014,Common Stock,,,
000030 CS Equity,000030,Shenzhen,CNY,BBG000BZFMM0,6803612,CNE0000009Z0,,7.550000,5063467.000000,9506.168055,11,1111,111111,,Common Stock,,,
000031 CS Equity,000031,Shenzhen,CNY,BBG000BZDC62,6780447,CNE000000BJ5,,6.030000,7094451.000000,10936.801524,14,1415,141510,,Common Stock,,,
000032 CS Equity,000032,Shenzhen,CNY,BBG000BZD9V1,6781440,CNE000000BK3,,7.910000,2421058.000000,3340.030200,18,1813,181311,,Common Stock,,,
000034 CS Equity,000034,Shenzhen,CNY,BBG000BZFLS6,6802329,CNE000000DQ6,,15.900000,5090743.000000,10399.719901,11,1120,112012,,Common Stock,,,
000035 CS Equity,000035,Shenzhen,CNY,BBG000BZ9B14,6187327,CNE000000FN8,,4.580000,10352590.000000,6189.968117,16,1618,161810,,Common Stock,,,
000036 CS Equity,000036,Shenzhen,CNY,BBG000P6K522,6844592,CNE000000G13,,6.060000,13402370.000000,6917.415535,14,1415,141510,,Common Stock,,,
000037 CS Equity,000037,Shenzhen,CNY,BBG000P6HMS1,6818122,CNE000000G62,,6.010000,1290131.000000,2036.838282,19,1910,191011,19101110,Common Stock,,,
000038 CS Equity,000038,Shenzhen,CNY,BBG000P6HLD9,6803043,CNE000000FR9,,18.100000,0.000000,9462.271284,14,1415,141510,,Common Stock,,,
000039 CS Equity,000039,Shenzhen,CNY,BBG000BZ9Y78,6191340,CNE000000644,,12.840000,8446708.000000,16285.995695,16,1613,161310,16131016,Common Stock,,,
000040 CS Equity,000040,Shenzhen,CNY,BBG000P6K3R0,6765789,CNE0000000D6,,10.450000,12291580.000000,13973.460692,14,1415,141510,,Common Stock,,,
000042 CS Equity,000042,Shenzhen,CNY,BBG000P6HH84,6780522,CNE000000H53,,15.790000,1068428.000000,10497.683685,14,1415,141510,,Common Stock,,,
000043 CS Equity,000043,Shenzhen,CNY,BBG000P6HF51,6781202,CNE000000H95,,7.370000,2737132.000000,4915.505636,14,1415,141510,,Common Stock,,,
000045 CS Equity,000045,Shenzhen,CNY,BBG000P6FV94,6806428,CNE000000H61,,7.160000,3586238.000000,3306.802317,11,1110,111011,11101111,Common Stock,,,
000046 CS Equity,000046,Shenzhen,CNY,BBG000P683M9,6781365,CNE000000123,,6.400000,30298530.000000,33255.684198,14,1415,141510,,Common Stock,,,
000048 CS Equity,000048,Shenzhen,CNY,BBG000P6K1H5,6488536,CNE000000HD5,,19.080000,590399.200000,7455.866243,12,1211,121110,12111010,Common Stock,,,
000049 CS Equity,000049,Shenzhen,CNY,BBG000P6HC94,6948773,CNE0000000F1,,29.330000,2715430.000000,6019.798836,12,1210,121014,12101410,Common Stock,,,
000050 CS Equity,000050,Shenzhen,CNY,BBG000P6H964,6823740,CNE000000HT1,,14.780000,16088650.000000,30271.258694,18,1810,181016,18101611,Common Stock,,,
000055 CS Equity,000055,Shenzhen,CNY,BBG000P66001,6781376,CNE000000JY7,,5.180000,8126275.000000,3520.926145,16,1613,161310,16131020,Common Stock,,,
000056 CS Equity,000056,Shenzhen,CNY,BBG000P6H866,6802318,CNE000000297,,10.330000,978967.900000,9628.704564,14,1415,141510,14151012,Common Stock,,,
000058 CS Equity,000058,Shenzhen,CNY,BBG000P6H6Y9,6780555,CNE000000NR3,,5.200000,2943762.000000,5143.813641,14,1415,141512,14151211,Common Stock,,,
000059 CS Equity,000059,Shenzhen,CNY,BBG000D3ZN81,6796143,CNE000000NY9,,7.140000,11858070.000000,11420.019714,17,1710,171011,17101111,Common Stock,,,
000060 CS Equity,000060,Shenzhen,CNY,BBG000D425S2,6188052,CNE000000FS7,,4.880000,28062280.000000,17420.064396,17,1715,171510,17151015,Common Stock,,,
000061 CS Equity,000061,Shenzhen,CNY,BBG000P6H5M4,6798105,CNE0000008V1,,5.320000,3278598.000000,9027.849177,12,1211,121111,12111114,Common Stock,,,
000062 CS Equity,000062,Shenzhen,CNY,BBG000D423R8,6813387,CNE0000008R9,,20.980000,3215873.000000,15133.225919,14,1410,141010,14101013,Common Stock,,,
000063 CS Equity,000063,Shenzhen,CNY,BBG000GC4ZY6,6073062,CNE000000TK5,,16.310000,236339800.000000,56060.231430,18,1810,181010,18101011,Common Stock,,,
