PARSEKYABLE_DES_SOURCE,ID_EXCH_SYMBOL,PRIMARY_EXCHANGE_NAME,CRNCY,ID_BB_GLOBAL,ID_SEDOL1,ID_ISIN,ID_CUSIP,PX_CLOSE,VOLUME_AVG_20D,CURRENT_MARKET_CAP_SHARE_CLASS,BICS_LEVEL_1_SECTOR_CODE,BICS_LEVEL_2_INDUSTRY_GROUP_CODE,BICS_LEVEL_3_INDUSTRY_CODE,BICS_LEVEL_4_SUB_INDUSTRY_CODE,SECURITY_TYP,,,
AABA US Equity,AABA,NASDAQ GS,USD,BBG000GFFQN9,BF6V3T1,US0213461017,021346101,77.530000,11392934.000000,63411.164062,,,,,Closed-End Fund,,,
AAC US Equity,AAC,New York,USD,BBG006T1NZ18,BQZJBY4,US0003071083,000307108,10.000000,124606.648438,245.993940,15,1511,151110,,Common Stock,,,
AADR US Equity,AADR,NYSE Arca,USD,BBG000BDYRW6,B415VC0,US00768Y2063,00768Y206,55.340000,36138.750000,251.796997,,,,,ETP,,,
AAL US Equity,AAL,NASDAQ GS,USD,BBG005P7Q881,BCV7KT2,US02376R1023,02376R102,38.190000,7414554.000000,17878.749665,11,1117,111710,11171010,Common Stock,,,
AAMC US Equity,AAMC,NYSEAmerican,USD,BBG003PNL136,B7GYFQ5,VI02153X1080,02153X108,63.850000,1636.199951,102.910046,14,1410,141011,,Common Stock,,,
AAME US Equity,AAME,NASDAQ GM,USD,BBG000B9XB24,2061168,US0482091008,048209100,2.400000,4393.899902,48.634745,14,1414,141410,14141010,Common Stock,,,
AAN US Equity,AAN,New York,USD,BBG000D9V7T4,2002918,US0025353006,002535300,43.520000,538216.812500,3061.407567,11,1115,111510,11151010,Common Stock,,,
AAOI US Equity,AAOI,NASDAQ GM,USD,BBG000D6VW15,BDW0D09,US03823U1025,03823U102,38.300000,1296964.750000,749.876198,18,1810,181016,18101610,Common Stock,,,
AAON US Equity,AAON,NASDAQ GS,USD,BBG000C2LZP3,2268130,US0003602069,000360206,36.150000,167712.546875,1892.894651,16,1611,161110,16111011,Common Stock,,,
AAPL US Equity,AAPL,NASDAQ GS,USD,BBG000B9XRY4,2046251,US0378331005,037833100,194.820000,17786480.000000,957567.185160,18,1810,181010,18101012,Common Stock,,,
AAP US Equity,AAP,New York,USD,BBG000F7RCJ1,2822019,US00751Y1064,00751Y106,140.470000,781472.125000,10399.178256,11,1120,112010,11201010,Common Stock,,,
AAT US Equity,AAT,New York,USD,BBG00161BCR0,B3NTLD4,US0240131047,024013104,37.450000,229500.500000,1767.770476,14,1415,141511,,REIT,,,
AA US Equity,AA,New York,USD,BBG00B3T3HD3,BYNF418,US0138721065,013872106,43.110000,4332814.000000,8038.111392,17,1715,171510,17151010,Common Stock,,,
AAU US Equity,AAU,NYSEAmerican,USD,BBG000DGFSY4,BYQX5P0,CA0202833053,020283305,0.680000,119391.000000,75.914945,17,1715,171511,,Common Stock,,,
AAV US Equity,AAV,New York,USD,BBG000C5QZ62,B66PKV1,CA00765F1018,00765F101,3.500000,119836.750000,651.710420,13,1310,131011,13101110,Common Stock,,,
AAWW US Equity,AAWW,NASDAQ GS,USD,BBG000Q57YP0,B01Z8P4,US0491642056,049164205,67.650000,219574.750000,1729.255635,16,1617,161710,16171010,Common Stock,,,
AAXJ US Equity,AAXJ,NASDAQ GM,USD,BBG000G6GXC5,B3B9631,US4642881829,464288182,73.690000,927091.625000,4391.924316,,,,,ETP,,,
AAXN US Equity,AAXN,NASDAQ GS,USD,BBG000BHJWG1,BDT5S35,US05464C1018,05464C101,72.890000,693569.125000,4245.453632,16,1610,161011,16101113,Common Stock,,,
ABAC US Equity,ABAC,NASDAQ CM,USD,BBG000BDZM38,BF6SRY5,VGG7500A1003,,2.170100,60132.898438,21.665725,12,1210,121010,12101011,Common Stock,,,
ABAX US Equity,ABAX,NASDAQ GS,USD,BBG000CP4WX9,2011550,US0025671050,002567105,83.130000,170105.953125,1901.263487,15,1512,151211,15121110,Common Stock,,,
ABB US Equity,ABB,New York,USD,BBG000DK5Q25,2748472,US0003752047,000375204,22.690000,2196792.000000,49195.284110,16,1611,161111,16111111,ADR,,,
ABBV US Equity,ABBV,New York,USD,BBG0025Y4RY4,B92SR70,US00287Y1091,00287Y109,93.120000,6482195.000000,140989.631951,15,1510,151010,,Common Stock,,,
ABCB US Equity,ABCB,NASDAQ GS,USD,BBG000CDY3H5,2038849,US03076K1088,03076K108,49.900000,395638.062500,2370.801994,14,1411,141111,,Common Stock,,,
ABCD US Equity,ABCD,NASDAQ CM,USD,BBG000Q05Q43,B4XV3J7,US13201A1079,13201A107,12.940000,150320.750000,609.699881,11,1115,111511,,Common Stock,,,
ABC US Equity,ABC,New York,USD,BBG000MDCQC2,2795393,US03073E1055,03073E105,84.770000,1314539.250000,18632.790929,15,1511,151112,15111210,Common Stock,,,
ABDC US Equity,ABDC,NASDAQ GS,USD,BBG0064VDP03,BM7SDT0,US01374T1025,01374T102,6.270000,48865.050781,85.815647,14,1410,141010,14101010,Common Stock,,,
ABEO US Equity,ABEO,NASDAQ CM,USD,BBG000DT5D52,BYNS0T7,US00289Y1073,00289Y107,12.700000,608725.875000,600.777119,15,1510,151011,,Common Stock,,,
ABEV US Equity,ABEV,New York,USD,BBG000BN5VZ4,BG804F6,US02319V1035,02319V103,5.090000,32090582.000000,80025.729813,12,1210,121012,12101210,ADR,,,
ABG US Equity,ABG,New York,USD,BBG000BKDWB5,2855855,US0434361046,043436104,68.650000,225539.656250,1397.226242,11,1120,112010,11201012,Common Stock,,,
ABIL US Equity,ABIL,NASDAQ CM,USD,BBG00B3TP3R5,BFN6VL7,KYG8789K1242,,4.404800,433668.250000,11.348593,18,1812,181211,18121113,Common Stock,,,
ABIO US Equity,ABIO,NASDAQ CM,USD,BBG000BWNN28,BZ6DLN7,US00211Y4070,00211Y407,0.619200,310790.312500,8.621827,15,1510,151011,15101110,Common Stock,,,
ABMD US Equity,ABMD,NASDAQ GS,USD,BBG000C101X4,2003698,US0036541003,003654100,430.640000,647823.062500,19224.560255,15,1512,151212,15121210,Common Stock,,,
ABM US Equity,ABM,New York,USD,BBG000B9YYH7,2024901,US0009571003,000957100,30.380000,598993.125000,1997.246821,11,1114,111410,11141010,Common Stock,,,
ABR US Equity,ABR,New York,USD,BBG000KMVDV1,B00N2S0,US0389231087,038923108,11.170000,2240849.250000,765.840165,14,1412,141212,14121215,REIT,,,
ABT US Equity,ABT,New York,USD,BBG000B9ZXB4,2002305,US0028241000,002824100,65.230000,5282215.500000,114360.437976,15,1512,151212,15121210,Common Stock,,,
ABTX US Equity,ABTX,NASDAQ GM,USD,BBG000BNYLL9,BYV3856,US01748H1077,01748H107,45.050000,31822.800781,600.324407,14,1411,141111,,Common Stock,,,
AB US Equity,AB,New York,USD,BBG000B9WM03,2017558,US01881G1067,01881G106,30.100000,258092.406250,2939.076664,14,1410,141011,,MLP,,,
ABUS US Equity,ABUS,NASDAQ GS,USD,BBG000RR8V85,BZ0QMB7,CA03879J1003,03879J100,11.650000,674155.625000,642.707165,15,1510,151011,,Common Stock,,,
ABX US Equity,ABX,New York,USD,BBG000BB07P9,2024677,CA0679011084,067901108,11.820000,9833051.000000,13792.791510,17,1715,171511,17151110,Common Stock,,,
ACAD US Equity,ACAD,NASDAQ GS,USD,BBG000BHG9K0,2713317,US0042251084,004225108,16.050000,3314053.750000,2003.456802,15,1510,151011,,Common Stock,,,
ACA US Equity,ACA,NYSEAmerican,USD,BBG001KSCHP5,,,,,,,14,1410,141010,14101013,Common Stock,,,
ACBI US Equity,ACBI,NASDAQ GS,USD,BBG009XQG7V9,BYT55F3,US0482692037,048269203,18.950000,58521.550781,488.169036,14,1411,141111,,Common Stock,,,
ACCO US Equity,ACCO,New York,USD,BBG000J06K07,B0G7SZ5,US00081T1088,00081T108,13.950000,361541.906250,1495.524872,11,1112,111213,,Common Stock,,,
ACC US Equity,ACC,New York,USD,BBG000M9KP89,B02H871,US0248351001,024835100,40.830000,930227.375000,5580.842303,14,1415,141511,14151112,REIT,,,
ACER US Equity,ACER,NASDAQ CM,USD,BBG000BG5S59,BF52JF3,US00444P1084,00444P108,20.001000,16376.650391,149.956157,15,1510,151012,,Common Stock,,,
ACES US Equity,ACES,Cboe BZX,USD,BBG00L99FCT0,BG47FF8,US00162Q4608,00162Q460,25.250000,,11.362551,,,,,ETP,,,
ACET US Equity,ACET,NASDAQ GS,USD,BBG000BB0S19,2004709,US0044461004,004446100,3.040000,377441.437500,93.595654,15,1510,151012,,Common Stock,,,
ACGL US Equity,ACGL,NASDAQ GS,USD,BBG000HXNN20,2740542,BMG0450A1053,,29.500000,1438643.875000,12016.145114,14,1414,141411,14141110,Common Stock,,,
ACHC US Equity,ACHC,NASDAQ GS,USD,BBG000FPNN38,B65VZ37,US00404A1097,00404A109,43.770000,578086.375000,3862.046782,15,1511,151110,15111012,Common Stock,,,
ACHN US Equity,ACHN,NASDAQ GS,USD,BBG000BPPV05,B17T9T8,US00448Q2012,00448Q201,2.710000,983700.125000,374.900690,15,1510,151011,15101110,Common Stock,,,
ACH US Equity,ACH,New York,USD,BBG000CMRVH1,2824628,US0222761092,022276109,11.400000,51925.199219,1798.448485,17,1715,171510,17151010,ADR,,,
ACHV US Equity,ACHV,NASDAQ CM,USD,BBG000FB8S62,BG4R8Y8,US0044682039,004468203,3.310000,1236275.125000,9.149754,15,1510,151011,15101110,Common Stock,,,
ACIA US Equity,ACIA,NASDAQ GS,USD,BBG00359HX70,BYXPCC5,US00401C1080,00401C108,32.860000,436613.156250,1319.313917,18,1810,181010,18101013,Common Stock,,,
ACIM US Equity,ACIM,NYSE Arca,USD,BBG002PKWJJ6,B5KSBH2,US78463X4759,78463X475,79.944800,3930.949951,103.928238,,,,,ETP,,,
ACIU US Equity,ACIU,NASDAQ GM,USD,BBG00D0RHJ38,BZC0D70,CH0329023102,,16.455000,434231.187500,1083.770564,15,1510,151012,15101210,Common Stock,,,
ACIW US Equity,ACIW,NASDAQ GS,USD,BBG000PMBV39,2889155,US0044981019,004498101,26.310000,376079.562500,3063.152695,18,1812,181211,18121116,Common Stock,,,
ACLS US Equity,ACLS,NASDAQ GS,USD,BBG000DW34S2,BD420Q8,US0545402085,054540208,20.950000,313162.062500,673.449587,18,1811,181110,18111011,Common Stock,,,
ACMR US Equity,ACMR,NASDAQ GM,USD,BBG00HPSG933,BF5C2N2,US00108J1097,00108J109,13.470000,73080.453125,183.550800,18,1811,181110,,Common Stock,,,
ACM US Equity,ACM,New York,USD,BBG000F61RJ8,B1VZ431,US00766T1007,00766T100,32.770000,621304.750000,5253.921525,16,1615,161511,,Common Stock,,,
ACNB US Equity,ACNB,NASDAQ CM,USD,BBG000BJ2LY9,2412012,US0008681092,000868109,34.600000,9332.500000,243.395084,14,1411,141111,,Common Stock,,,
ACN US Equity,ACN,New York,USD,BBG000D9D830,B4BNMY3,IE00B4BNMY34,,167.080000,2253788.500000,107056.189039,18,1814,181410,18141010,Common Stock,,,
ACOR US Equity,ACOR,NASDAQ GS,USD,BBG000FD10V8,2925844,US00484M1062,00484M106,24.550000,528597.562500,1155.481986,15,1510,151011,15101112,Common Stock,,,
ACP US Equity,ACP,New York,USD,BBG0017VSC04,BD3JBR8,US0030571063,003057106,13.970000,75799.101562,182.644791,,,,,Closed-End Fund,,,
ACRE US Equity,ACRE,New York,USD,BBG0022MMQB0,B77PWP5,US04013V1089,04013V108,13.920000,93511.796875,398.096911,14,1412,141212,14121215,REIT,,,
ACRS US Equity,ACRS,NASDAQ GS,USD,BBG003LF0QR9,BYV2W40,US00461U1051,00461U105,19.850000,213704.343750,613.484160,15,1510,151012,,Common Stock,,,
ACRX US Equity,ACRX,NASDAQ GM,USD,BBG0018YYFX7,B5STJG2,US00444T1007,00444T100,2.900000,893073.187500,168.966096,15,1510,151012,15101210,Common Stock,,,
ACSF US Equity,ACSF,NASDAQ GS,USD,BBG004XQWCG8,BJ05PM4,US02504D1081,02504D108,12.300000,24447.650391,123.001230,14,1410,141010,14101010,Common Stock,,,
ACSI US Equity,ACSI,Cboe BZX,USD,BBG00F40VFY6,BYP2J78,US26922A7761,26922A776,32.590000,3735.600098,55.403000,,,,,ETP,,,
